Primary Key,Title,Review Text,Date,Rating,Source,Reviewer Name,Sentiment
,Headphones..,,,4,BestBuy Canada,,POSITIVE
,Worth for Money,,,5,BestBuy Canada,,POSITIVE
,Average sound for a high price,,,3,BestBuy Canada,,NEUTRAL
,Sony WH1000XM6,,,5,BestBuy Canada,,POSITIVE
,The best headphones!,,,5,BestBuy Canada,,POSITIVE
,Fantastic technology in a poor material execution,,,3,BestBuy Canada,,NEUTRAL
,Amazing headphones,,,5,BestBuy Canada,,POSITIVE
,Best Noise Canceling,,,5,BestBuy Canada,,POSITIVE
,Excelent headphones,,,5,BestBuy Canada,,POSITIVE
,Left ear high pitch screeching noise upon use.,,,2,BestBuy Canada,,NEGATIVE
,Great improvement and a worthy update!,,,5,BestBuy Canada,,POSITIVE
,Great Noice Cancelation and overall quality,,,5,BestBuy Canada,,POSITIVE
,Worth every penny,,,5,BestBuy Canada,,POSITIVE
,STUNNING,,,5,BestBuy Canada,,POSITIVE
,Great Headphones,,,4,BestBuy Canada,,POSITIVE
,Second to none,,,5,BestBuy Canada,,POSITIVE
,Not bad sound quality,,,5,BestBuy Canada,,POSITIVE
,"Good sound, horrible comfort",,,1,BestBuy Canada,,NEGATIVE
,worth the upgrade,,,5,BestBuy Canada,,POSITIVE
,Fabulous headphones,,,5,BestBuy Canada,,POSITIVE
,Lack of bass boost,,,2,BestBuy Canada,,NEGATIVE
,Great Headphones,,,5,BestBuy Canada,,POSITIVE
,Nice sound quality and comfortable to wear,,,5,BestBuy Canada,,POSITIVE
,Excelling headphones,,,5,BestBuy Canada,,POSITIVE
,Headphones,,,4,BestBuy Canada,,POSITIVE
,Horrible connection issues,,,1,BestBuy Canada,,NEGATIVE
,Magnificent Sound,,,5,BestBuy Canada,,POSITIVE
,Worth It,,,5,BestBuy Canada,,POSITIVE
,Perfect,,,5,BestBuy Canada,,POSITIVE
,Amazing Headphones,,,5,BestBuy Canada,,POSITIVE
,"Decent, wouldn’t buy again.",,,3,BestBuy Canada,,NEUTRAL
,"Great headphones, upgrade cautiously.",,,4,BestBuy Canada,,POSITIVE
,Best Overall Headphones,,,5,BestBuy Canada,,POSITIVE
,Better,,,4,BestBuy Canada,,POSITIVE
,Best on the market,,,5,BestBuy Canada,,POSITIVE
,Good upgrade from xm3,,,5,BestBuy Canada,,POSITIVE
,So easy to use advanced features with great sound,,,5,BestBuy Canada,,POSITIVE
,"Great, but worth $450? Eh.",,,4,BestBuy Canada,,POSITIVE
,Headphone Lover,,,5,BestBuy Canada,,POSITIVE
,Great product!,,,4,BestBuy Canada,,POSITIVE
,noise cancelling is great like is promoted,,,5,BestBuy Canada,,POSITIVE
,Decent ANC headphones too tight on my head,,,3,BestBuy Canada,,NEUTRAL
,Great noise cancellation,,,5,BestBuy Canada,,POSITIVE
,Amazing Quality,,,5,BestBuy Canada,,POSITIVE
,Very nice headphones,,,5,BestBuy Canada,,POSITIVE
,Great but not that great,,,3,BestBuy Canada,,NEUTRAL
,Very muted mubled sound,,,3,BestBuy Canada,,NEUTRAL
,Has help with my social anxiety and distractions,,,5,BestBuy Canada,,POSITIVE
,Worth upgraded from 5s,,,5,BestBuy Canada,,POSITIVE
,Amazing headphones,,,5,BestBuy Canada,,POSITIVE
,Uncomfortable,,,4,BestBuy Canada,,POSITIVE
,Very happy!,,,5,BestBuy Canada,,POSITIVE
,Sony has the best sound,,,5,BestBuy Canada,,POSITIVE
,10/10 product,,,5,BestBuy Canada,,POSITIVE
,Best Headphones out right now.,,,5,BestBuy Canada,,POSITIVE
,Still the Best Headphones!,,,5,BestBuy Canada,,POSITIVE
,Excellent sound,,,5,BestBuy Canada,,POSITIVE
,"Don't think about it, just buy them!",,,5,BestBuy Canada,,POSITIVE
,the best headphones on the market,,,5,BestBuy Canada,,POSITIVE
,Solid headphones,,,5,BestBuy Canada,,POSITIVE
,Superb Headphones,,,5,BestBuy Canada,,POSITIVE
,best noise canceling,,,5,BestBuy Canada,,POSITIVE
,Outstanding,,,5,BestBuy Canada,,POSITIVE
,Far from Mid!,,,4,BestBuy Canada,,POSITIVE
,Great Headphones!,,,5,BestBuy Canada,,POSITIVE
,Great for recording vocals!,,,5,BestBuy Canada,,POSITIVE
