Primary Key,Title,Review Text,Date,Rating,Source,Reviewer Name,Sentiment
,Excellent ANC and comfortable fit. No pain on head,,,5,BestBuy Canada,,NEUTRAL
,Worth it!,,,5,BestBuy Canada,,NEUTRAL
,Headphones..,,,4,BestBuy Canada,,NEUTRAL
,Worth for Money,,,5,BestBuy Canada,,NEUTRAL
,Average sound for a high price,,,3,BestBuy Canada,,NEUTRAL
,Sony WH1000XM6,,,5,BestBuy Canada,,NEUTRAL
,The best headphones!,,,5,BestBuy Canada,,NEUTRAL
,Fantastic technology in a poor material execution,,,3,BestBuy Canada,,NEUTRAL
,Amazing headphones,,,5,BestBuy Canada,,NEUTRAL
,Best Noise Canceling,,,5,BestBuy Canada,,NEUTRAL
,Excelent headphones,,,5,BestBuy Canada,,NEUTRAL
,Left ear high pitch screeching noise upon use.,,,2,BestBuy Canada,,NEUTRAL
,Great improvement and a worthy update!,,,5,BestBuy Canada,,NEUTRAL
,Great Noice Cancelation and overall quality,,,5,BestBuy Canada,,NEUTRAL
,Worth every penny,,,5,BestBuy Canada,,NEUTRAL
,STUNNING,,,5,BestBuy Canada,,NEUTRAL
,Great Headphones,,,4,BestBuy Canada,,NEUTRAL
,Second to none,,,5,BestBuy Canada,,NEUTRAL
,Not bad sound quality,,,5,BestBuy Canada,,NEUTRAL
,"Good sound, horrible comfort",,,1,BestBuy Canada,,NEUTRAL
,worth the upgrade,,,5,BestBuy Canada,,NEUTRAL
,Fabulous headphones,,,5,BestBuy Canada,,NEUTRAL
,Lack of bass boost,,,2,BestBuy Canada,,NEUTRAL
,Great Headphones,,,5,BestBuy Canada,,NEUTRAL
,Nice sound quality and comfortable to wear,,,5,BestBuy Canada,,NEUTRAL
,Excelling headphones,,,5,BestBuy Canada,,NEUTRAL
,Headphones,,,4,BestBuy Canada,,NEUTRAL
,Horrible connection issues,,,1,BestBuy Canada,,NEUTRAL
,Magnificent Sound,,,5,BestBuy Canada,,NEUTRAL
,Worth It,,,5,BestBuy Canada,,NEUTRAL
,Perfect,,,5,BestBuy Canada,,NEUTRAL
,Amazing Headphones,,,5,BestBuy Canada,,NEUTRAL
,"Decent, wouldn’t buy again.",,,3,BestBuy Canada,,NEUTRAL
,"Great headphones, upgrade cautiously.",,,4,BestBuy Canada,,NEUTRAL
,Best Overall Headphones,,,5,BestBuy Canada,,NEUTRAL
,Better,,,4,BestBuy Canada,,NEUTRAL
,Best on the market,,,5,BestBuy Canada,,NEUTRAL
,Good upgrade from xm3,,,5,BestBuy Canada,,NEUTRAL
,So easy to use advanced features with great sound,,,5,BestBuy Canada,,NEUTRAL
,"Great, but worth $450? Eh.",,,4,BestBuy Canada,,NEUTRAL
,Headphone Lover,,,5,BestBuy Canada,,NEUTRAL
,Great product!,,,4,BestBuy Canada,,NEUTRAL
,noise cancelling is great like is promoted,,,5,BestBuy Canada,,NEUTRAL
,Decent ANC headphones too tight on my head,,,3,BestBuy Canada,,NEUTRAL
,Great noise cancellation,,,5,BestBuy Canada,,NEUTRAL
,Amazing Quality,,,5,BestBuy Canada,,NEUTRAL
,Very nice headphones,,,5,BestBuy Canada,,NEUTRAL
,Great but not that great,,,3,BestBuy Canada,,NEUTRAL
,Very muted mubled sound,,,3,BestBuy Canada,,NEUTRAL
,Has help with my social anxiety and distractions,,,5,BestBuy Canada,,NEUTRAL
,Worth upgraded from 5s,,,5,BestBuy Canada,,NEUTRAL
,Amazing headphones,,,5,BestBuy Canada,,NEUTRAL
,Uncomfortable,,,4,BestBuy Canada,,NEUTRAL
,Very happy!,,,5,BestBuy Canada,,NEUTRAL
,Sony has the best sound,,,5,BestBuy Canada,,NEUTRAL
,10/10 product,,,5,BestBuy Canada,,NEUTRAL
,Best Headphones out right now.,,,5,BestBuy Canada,,NEUTRAL
,Still the Best Headphones!,,,5,BestBuy Canada,,NEUTRAL
,Excellent sound,,,5,BestBuy Canada,,NEUTRAL
,"Don't think about it, just buy them!",,,5,BestBuy Canada,,NEUTRAL
,the best headphones on the market,,,5,BestBuy Canada,,NEUTRAL
,Solid headphones,,,5,BestBuy Canada,,NEUTRAL
,Superb Headphones,,,5,BestBuy Canada,,NEUTRAL
,best noise canceling,,,5,BestBuy Canada,,NEUTRAL
,Outstanding,,,5,BestBuy Canada,,NEUTRAL
,Far from Mid!,,,4,BestBuy Canada,,NEUTRAL
,Great Headphones!,,,5,BestBuy Canada,,NEUTRAL
,Great for recording vocals!,,,5,BestBuy Canada,,NEUTRAL
,Superb!!,,,5,BestBuy Canada,,NEUTRAL
,BEST IN BUSINESS,,,5,BestBuy Canada,,NEUTRAL
,Sony headset,,,5,BestBuy Canada,,NEUTRAL
,Excellent Audio,,,5,BestBuy Canada,,NEUTRAL
,Amazing headphones,,,5,BestBuy Canada,,NEUTRAL
,Love them,,,4,BestBuy Canada,,NEUTRAL
,Battery life,,,5,BestBuy Canada,,NEUTRAL
,Current State of the Art,,,5,BestBuy Canada,,NEUTRAL
,Sony XM6,,,5,BestBuy Canada,,NEUTRAL
,Up to date techno,,,5,BestBuy Canada,,NEUTRAL
,Excellent,,,5,BestBuy Canada,,NEUTRAL
,Silence can be achieved,,,5,BestBuy Canada,,NEUTRAL
,Excellent,,,5,BestBuy Canada,,NEUTRAL
,Outstanding Noise Canceling with a Few Minor Trade,,,5,BestBuy Canada,,NEUTRAL
,Noise cancellation is incredible,,,5,BestBuy Canada,,NEUTRAL
,Sony's masterpiece.,,,5,BestBuy Canada,,NEUTRAL
,"Wanted to love, ended up returning",,,3,BestBuy Canada,,NEUTRAL
,Perfect,,,5,BestBuy Canada,,NEUTRAL
,Awesome!,,,5,BestBuy Canada,,NEUTRAL
,Great sound but ear cup was too small,,,4,BestBuy Canada,,NEUTRAL
,So far so good,,,5,BestBuy Canada,,NEUTRAL
,Brilliant!,,,5,BestBuy Canada,,NEUTRAL
,Sony xm5,,,5,BestBuy Canada,,NEUTRAL
,Better than XM4's except for comfort,,,4,BestBuy Canada,,NEUTRAL
,Would buy again.,,,5,BestBuy Canada,,NEUTRAL
,Amazing features,,,5,BestBuy Canada,,NEUTRAL
,Headphone Review,,,4,BestBuy Canada,,NEUTRAL
,Beast in the ANC Headphones,,,5,BestBuy Canada,,NEUTRAL
,Best All round Headphones,,,5,BestBuy Canada,,NEUTRAL
,Great quality,,,5,BestBuy Canada,,NEUTRAL
,"great battery + sound, some manufacture defects",,,3,BestBuy Canada,,NEUTRAL
,Amazing,,,5,BestBuy Canada,,NEUTRAL
,Excellent buy and investment,,,5,BestBuy Canada,,NEUTRAL
,Excited about the Bose Noise Canceling Headphones!,,,5,BestBuy Canada,,NEUTRAL
,Simply amazing,,,5,BestBuy Canada,,NEUTRAL
,Quality Headphones,,,5,BestBuy Canada,,NEUTRAL
,Great headphones!,,,5,BestBuy Canada,,NEUTRAL
,Teen Approved,,,5,BestBuy Canada,,NEUTRAL
,New customer,,,3,BestBuy Canada,,NEUTRAL
,No good,,,3,BestBuy Canada,,NEUTRAL
,Sony headphones,,,5,BestBuy Canada,,NEUTRAL
,Best headphone in the class,,,5,BestBuy Canada,,NEUTRAL
,Excellent sound!,,,5,BestBuy Canada,,NEUTRAL
,Great headphones,,,5,BestBuy Canada,,NEUTRAL
,Amazing headphones,,,5,BestBuy Canada,,NEUTRAL
,👍,,,4,BestBuy Canada,,NEUTRAL
,There Fantastic,,,5,BestBuy Canada,,NEUTRAL
,Wish they were mpre intuitive,,,3,BestBuy Canada,,NEUTRAL
,Comfortability for the win,,,5,BestBuy Canada,,NEUTRAL
,M6 headsets,,,5,BestBuy Canada,,NEUTRAL
