Primary Key,Title,Review Text,Date,Rating,Source,Reviewer Name
,Perfect,,,5,BestBuy Canada,
,Amazing Headphones,,,5,BestBuy Canada,
,"Decent, wouldn’t buy again.",,,3,BestBuy Canada,
,"Great headphones, upgrade cautiously.",,,4,BestBuy Canada,
,Best Overall Headphones,,,5,BestBuy Canada,
,Better,,,4,BestBuy Canada,
,Best on the market,,,5,BestBuy Canada,
,Good upgrade from xm3,,,5,BestBuy Canada,
,So easy to use advanced features with great sound,,,5,BestBuy Canada,
,"Great, but worth $450? Eh.",,,4,BestBuy Canada,
,Headphone Lover,,,5,BestBuy Canada,
,Great product!,,,4,BestBuy Canada,
,noise cancelling is great like is promoted,,,5,BestBuy Canada,
,Decent ANC headphones too tight on my head,,,3,BestBuy Canada,
,Great noise cancellation,,,5,BestBuy Canada,
,Amazing Quality,,,5,BestBuy Canada,
,Very nice headphones,,,5,BestBuy Canada,
,Great but not that great,,,3,BestBuy Canada,
,Very muted mubled sound,,,3,BestBuy Canada,
,Has help with my social anxiety and distractions,,,5,BestBuy Canada,
,Worth upgraded from 5s,,,5,BestBuy Canada,
,Amazing headphones,,,5,BestBuy Canada,
,Uncomfortable,,,4,BestBuy Canada,
,Very happy!,,,5,BestBuy Canada,
,Sony has the best sound,,,5,BestBuy Canada,
,10/10 product,,,5,BestBuy Canada,
,Best Headphones out right now.,,,5,BestBuy Canada,
,Still the Best Headphones!,,,5,BestBuy Canada,
,Excellent sound,,,5,BestBuy Canada,
,"Don't think about it, just buy them!",,,5,BestBuy Canada,
,the best headphones on the market,,,5,BestBuy Canada,
,Solid headphones,,,5,BestBuy Canada,
,Superb Headphones,,,5,BestBuy Canada,
,best noise canceling,,,5,BestBuy Canada,
,Outstanding,,,5,BestBuy Canada,
,Far from Mid!,,,4,BestBuy Canada,
,Great Headphones!,,,5,BestBuy Canada,
,Great for recording vocals!,,,5,BestBuy Canada,
,Superb!!,,,5,BestBuy Canada,
,BEST IN BUSINESS,,,5,BestBuy Canada,
,Sony headset,,,5,BestBuy Canada,
,Excellent Audio,,,5,BestBuy Canada,
,Amazing headphones,,,5,BestBuy Canada,
,Love them,,,4,BestBuy Canada,
,Battery life,,,5,BestBuy Canada,
,Current State of the Art,,,5,BestBuy Canada,
,Sony XM6,,,5,BestBuy Canada,
,Up to date techno,,,5,BestBuy Canada,
,Excellent,,,5,BestBuy Canada,
,Silence can be achieved,,,5,BestBuy Canada,
,Excellent,,,5,BestBuy Canada,
,Outstanding Noise Canceling with a Few Minor Trade,,,5,BestBuy Canada,
,Noise cancellation is incredible,,,5,BestBuy Canada,
,Sony's masterpiece.,,,5,BestBuy Canada,
,"Wanted to love, ended up returning",,,3,BestBuy Canada,
,Perfect,,,5,BestBuy Canada,
,Awesome!,,,5,BestBuy Canada,
,Great sound but ear cup was too small,,,4,BestBuy Canada,
,So far so good,,,5,BestBuy Canada,
,Brilliant!,,,5,BestBuy Canada,
,Sony xm5,,,5,BestBuy Canada,
,Better than XM4's except for comfort,,,4,BestBuy Canada,
,Would buy again.,,,5,BestBuy Canada,
,Amazing features,,,5,BestBuy Canada,
,Headphone Review,,,4,BestBuy Canada,
,Beast in the ANC Headphones,,,5,BestBuy Canada,
,Best All round Headphones,,,5,BestBuy Canada,
,Great quality,,,5,BestBuy Canada,
,"great battery + sound, some manufacture defects",,,3,BestBuy Canada,
,Amazing,,,5,BestBuy Canada,
,Excellent buy and investment,,,5,BestBuy Canada,
,Excited about the Bose Noise Canceling Headphones!,,,5,BestBuy Canada,
,Simply amazing,,,5,BestBuy Canada,
,Quality Headphones,,,5,BestBuy Canada,
,Great headphones!,,,5,BestBuy Canada,
,Teen Approved,,,5,BestBuy Canada,
,New customer,,,3,BestBuy Canada,
,No good,,,3,BestBuy Canada,
